"CH_ID","ISSUER_CODE","ISSUER_NAME","TICKER","MATURITY_START_YR","MATURITY_END_YR","HAIRCUT_PCT","HAIRCUT_STATUS","START_DATE","END_DATE"
"ICC","US","United States of America","TII",0,1,2.00,"INACTIVE",2018-01-03,2018-01-09
"ICC","US","United States of America","B;CMB;T",0,1,1.75,"INACTIVE",2018-01-03,2018-01-09
"ICC","US","United States of America","B;CMB;T",1,3,2.50,"INACTIVE",2018-01-03,2018-02-07
"ICC","US","United States of America","TII",1,3,2.75,"INACTIVE",2018-01-03,2018-02-07
"ICC","US","United States of America","B;CMB;T;TII",3,5,3.25,"INACTIVE",2018-01-03,2018-02-07
"ICC","US","United States of America","B;CMB;T",5,10,4.50,"INACTIVE",2018-01-03,2018-03-07
"ICC","US","United States of America","TII",5,10,5.00,"INACTIVE",2018-01-03,2018-03-07
"ICC","US","United States of America","B;CMB;T",10,20,7.25,"INACTIVE",2018-01-03,2018-05-07
"ICC","US","United States of America","TII",10,20,8.25,"INACTIVE",2018-01-03,2018-11-06
"ICC","US","United States of America","TII",20,0,11.25,"INACTIVE",2018-01-03,2018-01-09
"ICC","US","United States of America","B;CMB;T",20,0,10.50,"INACTIVE",2018-01-03,2018-05-07
"ICC","US","United States of America","B;CMB;T;TII",0,1,2.00,"INACTIVE",2018-01-10,2018-04-09
"ICC","US","United States of America","TII",20,0,11.00,"INACTIVE",2018-01-10,2018-08-08
"ICC","US","United States of America","B;CMB;T;TII",1,3,2.75,"INACTIVE",2018-02-08,2018-03-07
"ICC","US","United States of America","B;CMB;T;TII",3,5,3.50,"INACTIVE",2018-02-08,2018-03-07
"ICC","US","United States of America","B;CMB;T;TII",1,3,3.00,"INACTIVE",2018-03-08,2018-08-08
"ICC","US","United States of America","B;CMB;T;TII",3,5,3.75,"INACTIVE",2018-03-08,2018-10-08
"ICC","US","United States of America","B;CMB;T",5,10,4.75,"INACTIVE",2018-03-08,2018-05-07
"ICC","US","United States of America","TII",5,10,5.25,"INACTIVE",2018-03-08,2019-09-10
"ICC","US","United States of America","B;CMB;T;TII",0,1,2.25,"INACTIVE",2018-04-10,2018-11-06
"ICC","US","United States of America","B;CMB;T",5,10,5.00,"INACTIVE",2018-05-08,2019-06-10
"ICC","US","United States of America","B;CMB;T",10,20,7.50,"INACTIVE",2018-05-08,2018-08-08
"ICC","US","United States of America","B;CMB;T",20,0,10.75,"INACTIVE",2018-05-08,2018-08-08
"ICC","US","United States of America","B;CMB;T;TII",1,3,3.25,"INACTIVE",2018-08-09,2019-07-08
"ICC","US","United States of America","B;CMB;T",10,20,7.75,"INACTIVE",2018-08-09,2018-11-06
"ICC","US","United States of America","B;CMB;T",20,0,11.00,"INACTIVE",2018-08-09,2019-01-09
"ICC","US","United States of America","TII",20,0,11.25,"INACTIVE",2018-08-09,2018-11-06
"ICC","US","United States of America","B;CMB;T;TII",3,5,4.00,"INACTIVE",2018-10-09,2019-06-10
"ICC","US","United States of America","B;CMB;T;TII",0,1,2.50,"INACTIVE",2018-11-07,2019-09-10
"ICC","US","United States of America","B;CMB;T",10,20,8.00,"INACTIVE",2018-11-07,2019-01-09
"ICC","US","United States of America","TII",10,20,8.50,"INACTIVE",2018-11-07,2019-06-10
"ICC","US","United States of America","TII",20,0,11.50,"INACTIVE",2018-11-07,2019-06-10
